Frame,X,Y
41,0,0
42,8,7
43,37,36
44,105,104
45,198,197
46,276,276
47,322,322
48,339,337
49,337,333
50,327,319
51,311,301
52,296,284
53,283,268
54,271,257
55,262,249
56,255,243
57,250,239
58,247,236
59,244,233
60,241,231
61,239,230
62,238,228
63,236,224
64,235,221
65,235,218
66,234,217
67,233,216
68,232,215
69,230,214
70,228,211
71,226,208
72,225,204
73,223,200
74,221,198
75,220,195
76,218,193
77,218,191
78,218,190
79,217,189
80,216,189
81,216,187
82,215,185
83,214,181
84,212,177
85,211,172
86,211,168
87,210,165
88,210,163
89,209,161
90,209,160
91,209,159
92,209,158
93,209,158
94,209,158
95,208,158
96,207,158
97,206,157
98,205,157
99,203,155
100,201,153
101,201,152
102,202,150
103,202,148
104,202,146
105,202,145
106,201,145
107,201,145
108,201,146
109,200,146
110,200,146
111,199,146
112,198,146
113,197,146
114,197,145
115,197,145
116,197,145
117,197,145
118,197,145
119,197,145
120,197,145
121,197,145
122,197,144
123,197,144
124,198,144
125,198,144
126,198,144
127,198,144
128,199,144
129,199,144
130,199,144
131,199,144
132,199,144
133,199,145
134,199,145
135,200,146
136,201,147
137,202,148
138,204,150
139,205,151
140,207,152
141,209,153
142,211,154
143,213,155
144,216,157
145,218,158
146,221,159
147,223,160
148,224,161
149,226,162
150,227,162
151,228,163
152,229,164
153,230,165
154,232,166
155,234,168
156,237,170
157,241,173
158,246,175
159,250,179
160,253,182
161,255,185
162,257,189
163,259,191
164,263,195
165,266,198
166,268,201
167,270,206
168,272,210
169,273,214
170,274,216
171,277,217
172,279,219
173,281,220
174,283,222
175,285,227
176,287,230
177,289,234
178,293,237
179,297,240
180,300,242
181,302,244
182,303,246
183,305,249
184,306,252
185,307,256
186,307,260
187,308,266
188,309,269
189,309,271
190,310,272
191,310,272
192,310,272
193,311,271
194,311,270
225,282,273
226,263,272
227,251,270
228,245,267
229,243,265
230,244,263
231,246,262
232,248,260
233,249,258
234,251,255
235,253,252
236,253,249
237,255,246
238,256,241
239,258,237
240,258,233
241,259,230
242,259,229
243,259,228
244,259,228
245,259,227
246,260,225
247,260,223
248,259,220
249,258,216
250,259,212
251,259,209
252,260,206
253,260,202
254,261,199
255,261,197
256,261,196
257,261,196
258,260,194
259,258,191
260,257,188
261,256,183
262,256,178
263,256,173
264,257,170
265,257,167
266,259,166
267,259,164
268,260,163
269,261,162
270,261,160
271,262,157
272,262,154
273,262,150
274,262,145
275,262,140
276,263,136
277,263,132
278,263,131
279,263,130
280,264,129
281,264,127
282,264,126
283,264,125
284,264,123
285,265,120
286,265,117
287,265,113
288,266,109
289,267,105
290,268,101
291,269,98
292,270,97
293,270,96
294,271,96
295,271,95
296,271,94
297,272,92
298,272,90
299,272,88
300,272,85
301,272,79
302,272,75
303,272,73
304,272,72
305,273,70
306,273,70
307,273,69
308,274,69
309,274,68
310,274,67
311,274,66
312,274,64
313,274,62
314,274,59
315,274,54
316,275,52
317,275,49
318,276,47
319,277,46
320,278,46
321,278,45
322,278,45
323,278,45
324,279,44
325,279,41
326,279,39
327,280,35
330,280,31
331,280,28
567,207,54
1277,152,88
1278,123,109
1279,111,120
1284,114,123
1285,122,121
1286,130,117
1287,138,112
1288,145,107
1289,151,103
1293,160,97
1295,169,92
1306,181,83
1308,191,77
1309,198,73
1310,201,72
1311,203,71
1312,203,70
1313,203,70
1314,202,69
1348,227,43
